"","in.sample.error","out.sample.error","method","year"
"1",6.60967400097235,18.924865494692,"rf","2011"
"2",6.47010998388589,40.2582714916984,"rf","2011"
"3",7.58035961278226,39.6849808837302,"rf","2011"
"4",10.164540059849,58.8057745390874,"rf","2011"
"5",14.0895985610565,51.2532201740414,"rf","2011"
"6",13.4359748205364,42.2782363624081,"rf","2011"
"7",14.3755211537901,41.4229302053731,"rf","2011"
"8",14.7407722563305,44.936624965301,"rf","2011"
"9",15.3008091705865,49.0708279900169,"rf","2011"
"10",15.8456308415079,39.1840786097985,"rf","2011"
"11",15.708095868321,40.990316911016,"rf","2011"
"12",16.3381453560619,25.8815564856315,"rf","2011"
"13",15.8770013647063,56.676028016144,"rf","2012"
"14",15.2437243622435,44.7943544574199,"rf","2012"
"15",16.965735823267,124.379634107518,"rf","2012"
"16",16.6011245610895,86.8469098881816,"rf","2012"
"17",18.7980964881811,73.6760733016989,"rf","2012"
"18",17.97384528409,40.9060021090621,"rf","2012"
"19",18.4679139521197,76.6312609171709,"rf","2012"
"20",20.0490262143633,94.3362709164938,"rf","2012"
"21",19.0027591251806,55.9405446432186,"rf","2012"
"22",20.9679084868479,77.2801373412738,"rf","2012"
"23",20.929860235177,31.6836323794145,"rf","2012"
"24",19.7189746835913,46.4177418093479,"rf","2012"
"25",27.2703124852739,30.7144111270048,"earth","2011"
"26",30.3878207305945,47.1042069031953,"earth","2011"
"27",34.3660882918132,61.6051451028123,"earth","2011"
"28",41.7387956246809,83.0718202241849,"earth","2011"
"29",54.9400092635374,85.5035638138133,"earth","2011"
"30",65.0240342887299,78.9669939747858,"earth","2011"
"31",69.2209747475288,96.458346538913,"earth","2011"
"32",71.5834625441247,72.9605483556753,"earth","2011"
"33",72.8567511322525,86.0606802359325,"earth","2011"
"34",74.3110387955958,92.3103538278513,"earth","2011"
"35",74.9308790112905,63.278082774541,"earth","2011"
"36",74.6701239284681,72.2802656127549,"earth","2011"
"37",75.2569169054959,60.7625642837961,"earth","2012"
"38",75.4673435939646,90.644598678403,"earth","2012"
"39",77.5496071242134,158.835348268501,"earth","2012"
"40",82.5066996031399,122.549482232415,"earth","2012"
"41",85.6568885691693,152.116732543234,"earth","2012"
"42",90.2362143942572,134.574590277864,"earth","2012"
"43",92.4942895894435,134.357149839829,"earth","2012"
"44",95.1542791051777,141.469269049163,"earth","2012"
"45",99.1651674086257,144.363010281549,"earth","2012"
"46",101.534529091626,143.315461066157,"earth","2012"
"47",101.804104884199,108.649747370277,"earth","2012"
"48",101.897251753516,98.1004260145468,"earth","2012"
