"","in.sample.error","out.sample.error","method","year"
"1",6.59731327712495,19.8504261437659,"rf","2011"
"2",8.15781838287156,46.9125239571489,"rf","2011"
"3",9.34812045518267,43.281744002331,"rf","2011"
"4",16.5039616668327,70.1026099632583,"rf","2011"
"5",22.8547287975526,57.2179124210767,"rf","2011"
"6",16.4092442110218,42.2301142680786,"rf","2011"
"7",20.4575675073378,45.4927603244479,"rf","2011"
"8",18.9743308113034,49.2382931419824,"rf","2011"
"9",22.5454285448259,82.9839450969176,"rf","2011"
"10",25.3920854704332,60.1246693395775,"rf","2011"
"11",14.4653339520924,66.6029764072949,"rf","2011"
"12",16.492108475368,29.5510530442016,"rf","2011"
"13",25.9288327945393,60.8303291141781,"rf","2012"
"14",15.1101373799555,61.0133862230945,"rf","2012"
"15",23.5186873918375,104.6971053173,"rf","2012"
"16",28.7444774263385,95.5985425860181,"rf","2012"
"17",32.4118106573626,71.8823930719991,"rf","2012"
"18",28.7274295753843,64.7453820760552,"rf","2012"
"19",31.700653097758,91.4633321134672,"rf","2012"
"20",25.5596774785694,79.1483659671754,"rf","2012"
"21",29.1169004969663,83.1548075754634,"rf","2012"
"22",34.1461418606469,83.8973827313835,"rf","2012"
"23",24.9695528441214,42.1344056708736,"rf","2012"
"24",25.8561085656495,57.2619208951319,"rf","2012"
"25",27.8915752235891,31.2760547627521,"earth","2011"
"26",32.7120883476014,47.5236888823607,"earth","2011"
"27",36.9472074965717,67.7355314412488,"earth","2011"
"28",51.4015566378167,82.4395556467361,"earth","2011"
"29",75.605446487667,80.0481645393077,"earth","2011"
"30",74.8199014361687,82.7605462393309,"earth","2011"
"31",75.6481973430492,84.8606084033152,"earth","2011"
"32",71.1799668972841,68.344452157993,"earth","2011"
"33",74.4780115373553,106.612293134357,"earth","2011"
"34",71.3192768157123,96.0815452688655,"earth","2011"
"35",69.3370989640176,80.078193463166,"earth","2011"
"36",63.8309266651298,64.7690846380712,"earth","2011"
"37",69.534147916475,71.8395809110145,"earth","2012"
"38",70.232998459065,91.3586313766119,"earth","2012"
"39",88.2666915798166,136.966616923891,"earth","2012"
"40",104.256719885174,139.961887063259,"earth","2012"
"41",102.345854256584,114.926291163987,"earth","2012"
"42",115.916498297115,131.131461784793,"earth","2012"
"43",111.261211756976,139.698389137081,"earth","2012"
"44",105.829602119639,128.825545100553,"earth","2012"
"45",134.472418585486,136.63004309965,"earth","2012"
"46",119.661334343416,119.687783094142,"earth","2012"
"47",94.8729305594788,103.841190123489,"earth","2012"
"48",98.2597508797472,99.5273512622557,"earth","2012"
