"","in.sample.error","out.sample.error","method","year"
"1",6.64944724523085,18.6733995011162,"rf","2011"
"2",6.76131660373112,40.4424619476249,"rf","2011"
"3",8.36524355070137,41.8609907932019,"rf","2011"
"4",11.7410444119673,51.6719950305842,"rf","2011"
"5",15.7595009702532,48.7798880438448,"rf","2011"
"6",15.8252258841317,42.9912917801451,"rf","2011"
"7",16.4293998370334,42.4334668507393,"rf","2011"
"8",16.5168310104953,43.8598746252754,"rf","2011"
"9",16.7786152192523,59.7892895526601,"rf","2011"
"10",17.5645241647759,40.5990100926549,"rf","2011"
"11",19.1604347882637,61.5216420396251,"rf","2011"
"12",20.3266773236214,60.2161315055836,"rf","2011"
"13",20.7390885675808,64.0241439510254,"rf","2012"
"14",21.6651216444084,60.0497922706401,"rf","2012"
"15",23.2034204781544,129.956291817517,"rf","2012"
"16",25.8911936757518,103.254704636434,"rf","2012"
"17",27.4303775313635,128.451536298224,"rf","2012"
"18",29.5657915227577,83.3525542004967,"rf","2012"
"19",30.6623646205954,107.570904056198,"rf","2012"
"20",31.818109355328,140.959654678276,"rf","2012"
"21",33.1826159951711,102.641725374044,"rf","2012"
"22",35.0854800994829,136.062368792338,"rf","2012"
"23",36.085141029395,82.5055305471572,"rf","2012"
"24",36.8454375407588,75.4175168518826,"rf","2012"
"25",27.8915752235891,31.2760547627521,"earth","2011"
"26",31.2748922337236,47.8538007535671,"earth","2011"
"27",35.5232178943818,81.2618113043832,"earth","2011"
"28",44.2164414962494,83.5856044485047,"earth","2011"
"29",57.6048254202299,85.1316735053998,"earth","2011"
"30",67.3498887361873,80.149941942868,"earth","2011"
"31",71.6546702947903,97.9927681884365,"earth","2011"
"32",73.817679476771,74.7545273530451,"earth","2011"
"33",75.0107920516123,96.7237201639708,"earth","2011"
"34",76.8882438494717,96.1264224595522,"earth","2011"
"35",77.9845927867993,65.4343621594204,"earth","2011"
"36",77.9943409854029,72.3652501405985,"earth","2011"
"37",78.2986595955991,66.6481158577468,"earth","2012"
"38",78.8788517690053,95.4400698411881,"earth","2012"
"39",81.8588953511836,179.392750956988,"earth","2012"
"40",89.0176024255344,138.561390785298,"earth","2012"
"41",92.6110879510912,180.548667223578,"earth","2012"
"42",97.4888882635955,152.660317283139,"earth","2012"
"43",99.9970143154007,135.47842661053,"earth","2012"
"44",102.8855141039,171.821671013751,"earth","2012"
"45",107.133855854835,158.858593726022,"earth","2012"
"46",110.844112834779,173.447583481017,"earth","2012"
"47",111.836272791761,125.377789438872,"earth","2012"
"48",112.713031500763,107.826013030533,"earth","2012"
